Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20203;2730901042;5861;klettern;;Stuttgart;4599;8 x jähr;11;5861;11153;10684;16850;;7868;;;2009;7232;5223;78;40;689;469;;;;;2698;2625;;;1744;;;638;2289;1651;;9;234;73;;;;214;;;;;;;;;;;;;;;;;;505149
20203;2730901042;10745;klettern;davon ePaper;Stuttgart;4599;8 x jähr;12;10745;619;619;;;273;;;33;33;;;40;273;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;505149
20202;2730901042;5861;klettern;;Stuttgart;4599;8 x jähr;11;5861;10565;10202;17050;;8010;;;1438;7332;5894;64;12;678;363;;;;;2575;2502;;;1796;;;486;2313;1827;;3;217;73;;;;214;;;;;;;;;;;;;;;;;;505149
20202;2730901042;10745;klettern;davon ePaper;Stuttgart;4599;8 x jähr;12;10745;541;541;;;277;;;30;30;;;12;222;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;505149
20201;2730901042;5861;klettern;;Stuttgart;4599;8 x jähr;11;5861;12747;12411;18300;;8127;;;3341;8505;5164;79;139;725;336;;;;;3198;3123;;;1840;;;1021;2571;1550;;38;224;75;;;;214;;;;;;;;;;;;;;;;;;505149
20201;2730901042;10745;klettern;davon ePaper;Stuttgart;4599;8 x jähr;12;10745;681;681;;;262;;;33;33;;;139;247;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;505149
20194;2730901042;5861;klettern;;Stuttgart;4599;8 x jähr;11;5861;12420;12137;18150;;8228;;;2916;8205;5289;76;180;737;283;;;;;3031;2952;;;1891;;;776;2481;1705;;57;228;79;;;;214;;;;;;;;;;;;;;;;;;505149
20194;2730901042;10745;klettern;davon ePaper;Stuttgart;4599;8 x jähr;12;10745;756;756;;;261;;;29;29;;;180;286;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;505149
20193;2730901042;5861;klettern;;Stuttgart;4599;8 x jähr;11;5861;12756;12372;18812;;8377;;;2977;8676;5699;73;224;721;384;;;;;3384;3277;;;1924;;;1041;2710;1669;;64;248;107;;;;214;;;;;;;;;;;;;;;;;;505149
20193;2730901042;10745;klettern;davon ePaper;Stuttgart;4599;8 x jähr;12;10745;792;792;;;252;;;34;34;;;224;282;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;505149
