Quartal,IVW-Nr.,Titel-Nr.,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20203,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4087271,4082613,4118433,4082613,,,,,,,,,,4658,,,,,34208,33958,,33958,,,,,,,,,,250,,,,401,,,,,,,,,,,,,,,,,,597953
20202,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4130789,4123493,4172000,4123493,,,,,,,,,,7296,,,,,33775,33508,,33508,,,,,,,,,,267,,,,401,,,,,,,,,,,,,,,,,,597953
20201,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4200796,4162438,4247233,4162438,,,,,,,,,,38358,,,,,48616,32833,,32833,,,,,,,,,,15783,,,,401,,,,,,,,,,,,,,,,,,597953
20194,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4492426,4464708,4522733,4464708,,,,,,,,,,27718,,,,,33000,32825,,32825,,,,,,,,,,175,,,,401,,,,,,,,,,,,,,,,,,597953
20193,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4486753,4446162,4505200,4446162,,,,,,,,,,40591,,,,,32758,32633,,32633,,,,,,,,,,125,,,,401,,,,,,,,,,,,,,,,,,597953
20192,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4488517,4482002,4508233,4482002,,,,,,,,,,6515,,,,,32866,32833,,32833,,,,,,,,,,33,,,,401,,,,,,,,,,,,,,,,,,597953
20191,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4495207,4489158,4513000,4489158,,,,,,,,,,6049,,,,,32433,32250,,32250,,,,,,,,,,183,,,,401,,,,,,,,,,,,,,,,,,597953
20184,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4658363,4651205,4674200,4651205,,,,,,,,,,7158,,,,,32209,31992,,31992,,,,,,,,,,217,,,,401,,,,,,,,,,,,,,,,,,597953
20183,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4626748,4622963,4645433,4622963,,,,,,,,,,3785,,,,,31883,31700,,31700,,,,,,,,,,183,,,,401,,,,,,,,,,,,,,,,,,597953
20182,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4666522,4662782,4695692,4662782,,,,,,,,,,3740,,,,,31958,31750,,31750,,,,,,,,,,208,,,,401,,,,,,,,,,,,,,,,,,597953
20181,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4685628,4679467,4722040,4679467,,,,,,,,,,6161,,,,,31500,31367,,31367,,,,,,,,,,133,,,,401,,,,,,,,,,,,,,,,,,597953
20174,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4617716,4608883,4632275,4608883,,,,,,,,,,8833,,,,,30483,30300,,30300,,,,,,,,,,183,,,,401,,,,,,,,,,,,,,,,,,597953
20173,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4591795,4580000,4604267,4580000,,,,,,,,,,11795,,,,,30675,29583,,29583,,,,,,,,,,1092,,,,401,,,,,,,,,,,,,,,,,,597953
20172,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4614691,4607825,4624533,4607825,,,,,,,,,,6866,,,,,30167,29475,,29475,,,,,,,,,,692,,,,401,,,,,,,,,,,,,,,,,,597953
20171,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4619399,4611417,4630767,4611417,,,,,,,,,,7982,,,,,29025,28850,,28850,,,,,,,,,,175,,,,401,,,,,,,,,,,,,,,,,,597953
20164,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4728861,4720858,4738233,4720858,,,,,,,,,,8003,,,,,29242,28900,,28900,,,,,,,,,,342,,,,401,,,,,,,,,,,,,,,,,,597953
20163,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4689651,4680833,4698533,4680833,,,,,,,,,,8818,,,,,28109,27817,,27817,,,,,,,,,,292,,,,401,,,,,,,,,,,,,,,,,,597953
20162,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4707403,4703783,4715033,4703783,,,,,,,,,,3620,,,,,28542,28150,,28150,,,,,,,,,,392,,,,401,,,,,,,,,,,,,,,,,,597953
20161,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4699360,4695725,4706050,4695725,,,,,,,,,,3635,,,,,27850,27583,,27583,,,,,,,,,,267,,,,401,,,,,,,,,,,,,,,,,,597953
20154,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4798810,4793833,4806833,4793833,,,,,,,,,,4977,,,,,27750,27142,,27142,,,,,,,,,,608,,,,401,,,,,,,,,,,,,,,,,,597953
20153,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4746564,4742800,4755267,4742800,,,,,,,,,,3764,,,,,27009,26442,,26442,,,,,,,,,,567,,,,401,,,,,,,,,,,,,,,,,,597953
20152,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4769824,4766650,4777400,4766650,,,,,,,,,,3174,,,,,27050,26567,,26567,,,,,,,,,,483,,,,401,,,,,,,,,,,,,,,,,,597953
20151,4010101214,2220,Apotheken-Umschau-A,,Baierbrunn,1025,mtl,11,2220,4767305,4763958,4771767,4763958,,,,,,,,,,3347,,,,,25842,25575,,25575,,,,,,,,,,267,,,,401,,,,,,,,,,,,,,,,,,597953
