Quartal,IVW-Nr,Quellzusatz,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20203,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,86159,83483,144983,,30096,18,,50497,105683,55186,1319,,1571,2676,,,,,20765,20744,,,3631,,,16155,39924,23769,2,,956,21,,,,205,,,,,,,,,,,,,,,,,,598000
20202,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,82719,79795,144533,,29202,18,,47636,106250,58614,1359,,1598,2924,,,,,26685,26648,,,3571,,,22100,47618,25518,2,,975,37,,,,205,,,,,,,,,,,,,,,,,,598000
20201,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,78114,76321,151846,,29457,18,,43493,108685,65192,1456,,1915,1793,,,,,26466,26390,,,3623,,,21510,48924,27414,2,,1255,76,,,,205,,,,,,,,,,,,,,,,,,598000
20194,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,76591,74654,147062,,30149,19,,40997,107406,66409,1463,,2045,1937,,,,,20952,20846,,,3610,,,15829,48923,33094,2,,1405,106,,,,205,,,,,,,,,,,,,,,,,,598000
20193,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,84895,82734,151285,,30666,20,,48502,111337,62835,1480,,2086,2161,,,,,27181,27018,,,3498,,,22076,49852,27776,2,,1442,163,,,,205,,,,,,,,,,,,,,,,,,598000
20192,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,94399,92307,152030,,30536,20,,58110,112065,53955,1510,,2151,2092,,,,,32351,32269,,,3336,,,27430,50047,22617,2,,1501,82,,,,205,,,,,,,,,,,,,,,,,,598000
20191,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,86550,84173,150029,,30547,22,,49831,110180,60349,1531,,2264,2377,,,,,25640,25555,,,3232,,,20704,49348,28644,2,,1617,85,,,,205,,,,,,,,,,,,,,,,,,598000
20184,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,82688,80224,151212,,29974,22,,46497,112347,65850,1555,,2198,2464,,,,,27444,27307,,,3225,,,22546,50742,28196,2,,1534,137,,,,205,,,,,,,,,,,,,,,,,,598000
20183,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,94550,92588,159024,,30557,22,,58232,119998,61766,1580,,2219,1962,,,,,29843,29760,,,3372,,,24847,51790,26943,2,,1539,83,,,,205,,,,,,,,,,,,,,,,,,598000
20182,2220921012,1147,burda style,,Offenburg,7062,mtl,11,1147,88827,87160,155560,,31521,22,,51715,116019,64304,1628,,2296,1667,,,,,28674,28590,,,3505,,,23488,51727,28239,2,,1595,84,,,,205,,,,,,,,,,,,,,,,,,598000
