Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20203;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;115074;110586;151900;;42957;;;35041;69419;34378;31097;;1491;4488;;;;;5545;5500;;;2199;;;2438;6543;4105;824;;39;45;;;;209;;;;;;;;;;;;;;;;;;530097
20202;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;108400;103510;149333;;43310;;;26456;65440;38984;32209;;1535;4890;;;;;5048;5003;;;2264;;;1841;6149;4308;859;;39;45;;;;209;;;;;;;;;;;;;;;;;;530097
20201;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;115593;111352;161467;;43925;;;27909;71391;43482;37910;;1608;4241;;;;;5873;5820;;;2309;;;2558;7120;4562;914;;39;53;;;;209;;;;;;;;;;;;;;;;;;530097
20194;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;125173;120487;175333;;44108;;;36236;83708;47472;38422;;1721;4686;;;;;6209;6154;;;2304;;;2873;7753;4880;938;;39;55;;;;209;;;;;;;;;;;;;;;;;;530097
20193;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;127533;123459;168467;;45542;;;37132;75820;38688;39098;;1687;4074;;;;;6447;6386;;;2160;;;3065;7758;4693;1122;;39;61;;;;209;;;;;;;;;;;;;;;;;;530097
20192;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;117896;113627;162100;;47180;;;25567;67348;41781;39406;;1474;4269;;;;;5628;5563;;;1755;;;2552;6730;4178;1215;;41;65;;;;209;;;;;;;;;;;;;;;;;;530097
20191;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;132415;128318;173167;;46539;;;41259;80334;39075;39819;;701;4097;;;;;5869;5796;;;1732;;;2806;7409;4603;1246;;12;73;;;;209;;;;;;;;;;;;;;;;;;530097
20184;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;130867;126442;180633;;46865;;;38841;85899;47058;39981;;755;4425;;;;;6137;6043;;;1781;;;2980;8329;5349;1267;;15;94;;;;209;;;;;;;;;;;;;;;;;;530097
20183;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;132824;128397;184533;;47513;;;40003;87761;47758;40145;;736;4427;;;;;6525;6443;;;1728;;;3417;9006;5589;1281;;17;82;;;;209;;;;;;;;;;;;;;;;;;530097
20182;2221201012;5;Essen + Trinken;;Münster;7240;mtl;11;5;134652;129713;182933;;49564;;;38827;83882;45055;40434;;888;4939;;;;;6396;6317;;;1792;;;3207;8453;5246;1298;;20;79;;;;209;;;;;;;;;;;;;;;;;;530097
