Quartal,IVW-Nr,Quellzusatz,Titel,Zusatz,Ort,Verlagsnummer,Erscheinungsweisen,Kennzeichen Statistik,Mitgliedsnummer,Verbreitung,Verkauf,Druckauflage gesamt,Verkauf zur Weitergabe an Kunden,Abo gesamt,dav Mehrf 25,dav Mitgl,EV-Verkauf,EV-Lieferung,Remittenden,Lesezirkel,Bordexemplare,Sonst Verk,Freist gesamt,davon ausgelegt,Zahl Auslege-Stellen,Reste/Belege,Sonderhinweis,Verbreitung (Ausland),Verkauf (Ausland),Druckauflage gesamt (A),Verkauf zur Weitergabe an Kunden (A),Abo gesamt (A),dav Mehrf 25 (A),dav Mitgl (A),EV-Verkauf (A),EV-Lieferung (A),Remittenden (A),Lesezirkel (A),Bordexemplare (A),Sonst Verk (A),Freist gesamt (A),davon ausgelegt (A),Zahl Auslege-Stellen (A),Reste/Belege (A),Sachgruppe,Bindeauflage,VerkAuflage,VertriebAb,Postvert_gesamt,Postvert_CDROM,Direktvertr_gesamt,Direktvertr_CDROM,Verbreitung_gesamt,Verbreitung_CDROM,Korrektur_KZ,Supplement_Gesamtverkauf,Supplement_Sonstige_Verbreitung_gesamt,Nicht_IVW-angeschlossene_Trägerobjekte,Bindeauflage (CD),VerkAuflage (CD),Freist gesamt (CD),Erschienen,ZIS-Schlüssel/PZ-Nr.
20203,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,396499,389396,394458,,287210,,,63579,151184,87605,,6684,31923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20202,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,397981,391026,396816,,291952,,,67926,150477,82551,,2261,28887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20201,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,408741,401656,410821,,288972,,,63078,142387,79309,,22053,27553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20194,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,405732,397712,414660,,288121,,,59934,145081,85147,,21788,27869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20193,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,408340,400017,430309,,281632,,,67990,165058,97068,,22596,27799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20192,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,415173,406355,442371,,287708,,,66889,166878,99989,,23267,28491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20191,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,415481,407255,437787,,293420,,,62749,154192,91443,,22969,28117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20184,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,424437,415071,450248,,299373,,,64868,157790,92922,,23007,27823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20183,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,412092,403332,456135,,280344,,,72421,181029,108608,,22519,28048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
20182,1481200000,1987,Süddeutsche Zeitung,,München,1148,Sa,10,1987,423881,413258,468474,,290488,,,69405,177127,107722,,23344,30021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101689
