Monat,Quellzusatz,Titel,VerkaufMonat,VerkaufLinear
202009,5861,klettern,3561,3561
202008,5861,klettern,3561,3508
202007,5861,klettern,3562,3454
202006,5861,klettern,3400,3401
202005,5861,klettern,3400,3646
202004,5861,klettern,3402,3891
202003,5861,klettern,4137,4137
202002,5861,klettern,4137,4107
202001,5861,klettern,4137,4076
201912,5861,klettern,4045,4046
201911,5861,klettern,4045,4072
201910,5861,klettern,4047,4098
201909,5861,klettern,4124,4124
201908,5861,klettern,4124,4211
201907,5861,klettern,4124,4299
201906,5861,klettern,4836,4386
201905,5861,klettern,4836,4399
201904,5861,klettern,4836,4413
201903,5861,klettern,4426,4426
201902,5861,klettern,4426,4369
201901,5861,klettern,4426,4313
