Monat,Quellzusatz,Titel,VerkaufMonat,VerkaufLinear
202009,1147,burda style,27827,27828
202008,1147,burda style,27827,27418
202007,1147,burda style,27829,27008
202006,1147,burda style,26598,26598
202005,1147,burda style,26598,26212
202004,1147,burda style,26599,25826
202003,1147,burda style,25440,25440
202002,1147,burda style,25440,25255
202001,1147,burda style,25441,25070
201912,1147,burda style,24884,24885
201911,1147,burda style,24884,25782
201910,1147,burda style,24886,26680
201909,1147,burda style,27578,27578
201908,1147,burda style,27578,28642
201907,1147,burda style,27578,29705
201906,1147,burda style,30769,30769
201905,1147,burda style,30769,29865
201904,1147,burda style,30769,28961
201903,1147,burda style,28057,28058
201902,1147,burda style,28057,27619
201901,1147,burda style,28059,27180
