Monat,Quellzusatz,Titel,VerkaufMonat,VerkaufLinear
202009,5,Essen + Trinken,36862,36862
202008,5,Essen + Trinken,36862,36076
202007,5,Essen + Trinken,36862,35290
202006,5,Essen + Trinken,34503,34503
202005,5,Essen + Trinken,34503,35375
202004,5,Essen + Trinken,34504,36246
202003,5,Essen + Trinken,37117,37117
202002,5,Essen + Trinken,37117,38132
202001,5,Essen + Trinken,37118,39147
201912,5,Essen + Trinken,40162,40162
201911,5,Essen + Trinken,40162,40493
201910,5,Essen + Trinken,40163,40823
201909,5,Essen + Trinken,41153,41153
201908,5,Essen + Trinken,41153,40061
201907,5,Essen + Trinken,41153,38968
201906,5,Essen + Trinken,37875,37876
201905,5,Essen + Trinken,37875,39508
201904,5,Essen + Trinken,37877,41140
201903,5,Essen + Trinken,42772,42773
201902,5,Essen + Trinken,42772,42564
201901,5,Essen + Trinken,42774,42356
