Monat,Quellzusatz,Titel,VerkaufMonat,VerkaufLinear
202009,1987,Süddeutsche Zeitung,129798,129799
202008,1987,Süddeutsche Zeitung,129798,129980
202007,1987,Süddeutsche Zeitung,129800,130161
202006,1987,Süddeutsche Zeitung,130342,130342
202005,1987,Süddeutsche Zeitung,130342,131523
202004,1987,Süddeutsche Zeitung,130342,132704
202003,1987,Süddeutsche Zeitung,133885,133885
202002,1987,Süddeutsche Zeitung,133885,133447
202001,1987,Süddeutsche Zeitung,133886,133009
201912,1987,Süddeutsche Zeitung,132570,132571
201911,1987,Süddeutsche Zeitung,132570,132827
201910,1987,Süddeutsche Zeitung,132572,133083
201909,1987,Süddeutsche Zeitung,133339,133339
201908,1987,Süddeutsche Zeitung,133339,134043
201907,1987,Süddeutsche Zeitung,133339,134747
201906,1987,Süddeutsche Zeitung,135451,135452
201905,1987,Süddeutsche Zeitung,135451,135552
201904,1987,Süddeutsche Zeitung,135453,135652
201903,1987,Süddeutsche Zeitung,135751,135752
201902,1987,Süddeutsche Zeitung,135751,136620
201901,1987,Süddeutsche Zeitung,135753,137489
