"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";4.850.883;
"online Visit-Anteil Inland:";87;
"online PIs:";13.106.142;
"online PI-Anteil Inland:";88;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"apotheken-umschau.de";
"Angebotstyp:";"Multi-Angebot";
"FQDN:";"http://www.apotheken-umschau.de";
"Anbieter:";"Wort & Bild Verlag Konradshöhe GmbH & Co. KG";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"Sprache";
"   Deutsch";4.850.834;13.106.085;4.639.913;10.763.550;3.912.100;9.106.448;4.331.467;10.497.447;4.894.748;12.287.670;5.385.358;13.325.783;5.894.076;14.890.243;5.129.493;13.716.875;5.708.850;14.553.651;5.358.077;13.565.157;5.006.064;12.969.930;3.591.532;9.353.394;3.939.791;10.059.346;---;---;2.072.454;4.986.073;3.851.269;9.384.012;4.049.787;9.499.236;3.769.163;8.860.391;4.874.151;11.396.310;4.923.501;11.584.741;6.415.041;14.740.071;7.058.511;15.358.336;7.581.173;16.579.463;5.980.839;12.881.370;6.928.283;14.717.358;
"   Andere Sprache, Inhalt prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere Sprache, Inhalt nicht prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Format";
"   Bild / Text";4.846.972;13.056.872;4.635.667;10.715.066;3.905.726;9.063.881;4.328.040;10.451.811;4.890.704;12.237.374;5.381.024;13.271.550;5.886.439;14.780.179;5.125.386;13.656.030;5.707.042;14.516.569;5.356.287;13.521.908;5.004.280;12.933.075;3.589.782;9.326.619;3.936.945;10.020.740;---;---;2.071.500;4.968.014;3.848.861;9.347.052;4.043.913;9.462.123;3.763.771;8.829.218;4.868.186;11.354.965;4.920.953;11.559.096;6.415.041;14.740.071;7.058.511;15.358.336;7.581.173;16.579.463;5.980.839;12.881.370;6.928.283;14.717.358;
"   Audio Stream";---;---;---;---;15;18;48;74;30;63;48;114;81;211;15;44;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Video Stream";41.972;49.213;41.631;48.484;36.508;42.549;39.184;45.562;43.131;50.233;46.544;54.119;69.836;109.853;40.679;60.801;31.731;37.082;37.918;43.249;31.387;36.855;22.269;26.775;28.773;38.606;---;---;15.416;18.059;32.379;36.960;32.952;37.113;27.107;31.173;35.952;41.345;22.449;25.645;---;---;---;---;---;---;---;---;---;---;
"   Andere dynamische Formate";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Erzeuger";
"   Redaktion";4.849.882;13.104.255;4.638.868;10.761.638;3.911.570;9.101.868;4.330.921;10.496.309;4.894.177;12.286.328;5.384.762;13.324.477;5.893.551;14.888.787;5.128.836;13.715.050;5.707.982;14.551.149;5.357.295;13.563.037;5.005.254;12.967.726;3.590.860;9.351.737;3.938.948;10.057.301;---;---;2.072.014;4.984.957;3.850.520;9.382.027;4.049.016;9.497.243;3.768.589;8.858.922;4.873.409;11.394.367;4.922.627;11.582.524;6.413.718;14.737.045;7.057.157;15.355.221;7.579.760;16.576.225;5.980.027;12.879.303;6.927.381;14.715.037;
"   User";1.404;1.830;1.484;1.912;860;4.580;862;1.138;945;1.342;938;1.306;949;1.456;1.265;1.825;1.835;2.502;1.437;2.120;1.509;2.204;1.153;1.657;1.452;2.045;---;---;808;1.116;1.372;1.985;1.365;1.993;1.018;1.469;1.310;1.943;1.493;2.217;2.164;3.026;2.296;3.115;2.374;3.238;1.435;2.067;1.569;2.321;
"   Unbekannt";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

