"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";246.106;
"online Visit-Anteil Inland:";75;
"online PIs:";397.315;
"online PI-Anteil Inland:";75;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"Bergsteiger";
"Angebotstyp:";"Multi-Angebot";
"FQDN:";"http://www.bergsteiger.de";
"Anbieter:";"GeraNova Bruckmann Verlagshaus GmbH";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"Sprache";
"   Deutsch";246.106;397.315;252.178;414.100;365.662;629.500;449.462;771.485;472.836;808.080;453.067;784.315;383.778;672.991;180.584;324.032;138.336;272.388;181.647;359.336;236.845;478.272;175.286;352.033;161.723;305.799;228.640;404.733;259.436;468.337;345.356;631.347;297.403;557.472;271.591;505.031;214.959;422.496;222.045;413.678;182.881;359.718;189.806;386.666;227.311;489.295;143.932;278.420;148.372;267.039;
"   Andere Sprache, Inhalt prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere Sprache, Inhalt nicht prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Format";
"   Bild / Text";246.106;397.315;252.178;414.100;365.662;629.500;449.462;771.485;472.836;808.080;453.067;784.315;383.778;672.991;180.584;324.032;138.336;272.388;181.647;359.336;236.845;478.272;175.286;352.033;161.723;305.799;228.640;404.733;259.436;468.337;345.356;631.347;297.403;557.472;271.591;505.031;214.959;422.496;222.045;413.678;182.881;359.718;189.806;386.666;227.311;489.295;143.932;278.420;148.372;267.039;
"   Audio Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Video Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere dynamische Formate";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Erzeuger";
"   Redaktion";246.105;397.290;252.176;414.073;365.661;629.487;449.459;771.440;472.834;808.040;453.057;784.221;383.778;672.951;180.582;323.978;138.335;272.341;181.645;359.304;236.843;478.242;175.284;351.988;161.719;305.758;228.638;404.697;259.434;468.312;345.354;631.306;297.401;557.434;271.586;505.005;214.956;422.470;222.044;413.650;182.877;359.690;189.803;386.637;227.237;489.158;143.927;278.391;148.369;266.998;
