"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";99.635;
"online Visit-Anteil Inland:";100;
"online PIs:";232.266;
"online PI-Anteil Inland:";100;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"BurdaStyle.de";
"FQDN:";"http://www.burdastyle.de";
"Anbieter:";"Verlag Aenne Burda GmbH & Co. KG";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"Sprache";
"   Deutsch";99.627;232.254;68.450;150.983;86.575;204.065;94.761;230.538;91.225;230.921;111.705;288.182;214.150;441.682;790.293;1.304.684;277.988;540.526;112.803;285.435;74.628;197.771;84.605;187.623;111.616;258.310;113.544;271.453;89.200;227.066;103.987;258.859;100.248;273.702;98.898;263.270;108.588;300.175;107.980;309.951;115.762;337.394;106.485;316.916;121.059;382.803;200.228;432.565;99.853;311.505;
"   Andere Sprache, Inhalt prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere Sprache, Inhalt nicht prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Format";
"   Bild / Text";99.627;232.254;68.450;150.983;86.575;204.065;94.761;230.538;91.225;230.921;111.705;288.182;214.150;441.682;790.293;1.304.684;277.988;540.526;112.803;285.435;74.628;197.771;84.605;187.623;111.616;258.310;113.544;271.453;89.200;227.066;103.987;258.859;100.248;273.702;98.898;263.270;108.588;300.175;107.980;309.951;115.762;337.394;106.485;316.916;121.059;382.803;200.228;432.565;99.853;311.505;
"   Audio Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Video Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere dynamische Formate";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Erzeuger";
"   Redaktion";77.792;131.316;54.629;89.951;67.079;111.596;72.421;122.469;68.475;119.312;86.306;154.052;188.459;313.078;771.682;1.181.514;261.928;432.932;97.919;180.498;64.559;121.301;74.082;120.742;93.101;161.367;85.026;149.737;68.092;124.141;77.239;136.341;74.024;143.277;76.233;147.577;87.406;179.363;95.215;205.959;104.486;234.749;96.279;214.892;109.812;268.507;191.655;347.573;88.925;209.735;
