"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";20.831.087;
"online Visit-Anteil Inland:";84;
"online PIs:";80.031.332;
"online PI-Anteil Inland:";90;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"Chefkoch.de";
"FQDN:";"http://www.chefkoch.de";
"Anbieter:";"Chefkoch GmbH";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"Sprache";
"   Deutsch";20.814.097;79.991.686;19.419.897;70.441.942;16.233.561;57.390.792;16.607.733;58.617.330;17.577.767;60.888.931;17.180.632;59.858.459;20.607.165;74.550.309;23.568.903;86.471.443;21.762.027;80.660.039;18.454.903;72.161.441;19.774.342;78.368.310;25.577.974;101.184.981;21.679.859;84.979.719;20.909.698;80.546.994;18.352.628;69.140.378;18.430.390;72.685.883;18.647.582;76.282.945;17.077.946;67.926.576;19.667.737;80.899.831;20.245.879;82.461.590;20.938.534;87.354.809;19.310.967;83.389.736;22.867.055;101.303.571;29.168.982;134.839.677;24.305.173;114.143.629;
"   Andere Sprache, Inhalt prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere Sprache, Inhalt nicht prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Format";
"   Bild / Text";20.809.721;79.846.570;19.416.431;70.307.465;16.229.691;57.267.929;16.601.998;58.480.538;17.571.857;60.747.702;17.174.373;59.720.896;20.598.936;74.360.821;23.535.608;86.085.906;21.674.863;79.952.003;18.372.853;71.511.950;19.680.201;77.661.105;25.444.497;100.181.896;21.561.980;84.130.713;20.776.830;79.649.221;18.229.517;68.217.193;18.303.626;71.562.631;18.533.347;75.212.871;16.968.305;67.014.621;19.546.001;79.780.599;20.105.542;81.005.512;20.815.087;85.927.075;19.201.705;82.106.170;22.741.550;99.632.610;28.970.358;132.518.537;24.166.527;112.460.674;
"   Audio Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Video Stream";117.503;145.116;107.479;134.477;99.186;122.863;111.557;136.792;115.436;141.229;113.172;137.563;154.337;189.488;261.967;385.537;391.638;708.036;358.967;649.491;391.585;707.205;553.696;1.003.085;474.972;849.006;508.988;897.773;485.818;923.185;570.727;1.123.252;626.365;1.070.074;564.435;911.955;693.686;1.119.232;874.871;1.456.078;851.983;1.427.734;770.564;1.283.566;941.243;1.670.961;1.337.629;2.321.140;983.625;1.682.955;
"   Andere dynamische Formate";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
