"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";5.036.455;
"online Visit-Anteil Inland:";85;
"online PIs:";23.926.148;
"online PI-Anteil Inland:";86;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"essen-und-trinken.de";
"Angebotstyp:";"Multi-Angebot";
"FQDN:";"http://www.essen-und-trinken.de";
"Anbieter:";"G+J Electronic Media Sales GmbH";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"Sprache";
"   Deutsch";4.959.144;23.620.225;4.606.553;23.611.408;4.495.744;14.076.923;4.517.437;12.828.064;4.778.832;17.525.595;4.976.720;18.786.010;5.608.822;20.400.303;5.901.376;22.701.500;5.015.091;18.910.548;4.109.623;15.766.127;4.304.271;15.055.396;6.585.277;30.314.439;5.125.295;19.542.824;4.923.491;19.375.599;4.359.038;14.844.865;4.221.839;13.175.786;4.354.286;21.286.677;4.073.481;16.360.096;4.751.994;19.863.591;5.270.800;26.267.637;4.966.789;20.889.659;4.922.413;21.385.690;5.696.197;21.511.763;7.465.335;33.510.286;5.872.236;21.517.657;
"   Andere Sprache, Inhalt prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere Sprache, Inhalt nicht prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Format";
"   Bild / Text";4.957.474;23.603.832;4.605.257;23.599.414;4.495.719;14.076.606;4.517.436;12.828.060;4.778.831;17.525.594;4.976.720;18.786.010;5.608.821;20.400.299;5.901.374;22.701.498;5.015.091;18.910.548;4.109.623;15.766.127;4.304.269;15.055.394;6.585.268;30.314.428;5.125.295;19.542.813;4.923.480;19.375.579;4.359.030;14.844.855;4.221.827;13.175.766;4.354.065;21.280.222;4.072.847;16.340.988;4.751.158;19.838.130;5.269.803;26.237.814;4.965.876;20.860.118;4.921.488;21.356.027;5.695.131;21.474.897;7.463.145;33.453.684;5.870.828;21.481.297;
"   Audio Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Video Stream";15.167;16.393;11.208;11.994;293;317;2;4;1;1;---;---;4;4;2;2;---;---;---;---;2;2;9;11;3;11;15;20;10;10;17;20;4.998;6.455;14.323;19.108;18.957;25.461;22.175;29.823;22.047;29.541;21.762;29.663;27.257;36.866;47.104;56.602;30.046;36.360;
"   Andere dynamische Formate";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Erzeuger";
"   Redaktion";4.959.096;23.620.157;4.606.488;23.611.306;4.495.708;14.076.866;4.517.406;12.828.022;4.778.801;17.525.536;4.976.669;18.785.939;5.608.779;20.400.222;5.901.325;22.701.409;5.015.040;18.910.475;4.109.588;15.766.066;4.304.236;15.055.327;6.585.224;30.314.335;5.125.236;19.542.702;4.923.443;19.375.521;4.358.991;14.844.791;4.221.783;13.175.672;4.354.245;21.286.600;4.073.435;16.360.020;4.751.948;19.863.493;5.270.743;26.267.542;4.966.719;20.889.524;4.922.349;21.385.554;5.696.128;21.511.631;7.465.267;33.510.151;5.872.158;21.517.512;
"   User";57;68;78;102;44;57;37;42;41;59;59;71;56;81;68;91;57;73;49;61;54;69;76;104;82;122;60;78;62;74;72;114;60;77;62;76;75;98;70;95;90;135;98;136;88;132;99;135;103;145;
"   Unbekannt";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Homepage";
"   Homepage des Angebots";38;41;106;122;111.978;139.914;115.657;145.698;117.429;151.057;121.392;152.458;142.975;180.189;157.669;198.506;140.527;180.899;116.295;148.531;131.277;165.584;150.019;184.743;133.593;169.245;122.716;155.631;110.891;138.433;106.808;138.576;110.965;145.258;99.545;130.703;123.085;161.372;133.223;173.017;126.593;167.090;118.873;154.350;139.406;181.154;163.044;203.866;142.339;183.515;
