"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";32.472.419;
"online Visit-Anteil Inland:";88;
"online PIs:";72.277.789;
"online PI-Anteil Inland:";88;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"Süddeutsche.de";
"Angebotstyp:";"Multi-Angebot";
"FQDN:";"http://www.sueddeutsche.de";
"Anbieter:";"Süddeutsche Zeitung Digitale Medien GmbH";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"Sprache";
"   Deutsch";32.446.014;72.200.842;30.909.334;69.805.012;25.075.239;57.059.352;25.472.073;58.041.345;28.008.288;75.882.517;30.159.607;76.590.519;30.318.592;74.463.942;38.665.104;94.769.517;47.513.448;107.696.659;26.418.125;70.742.020;26.150.608;67.075.676;23.243.811;63.954.710;24.301.777;63.621.747;24.381.829;65.196.843;23.683.785;64.461.811;23.101.131;63.913.081;25.260.018;68.173.702;22.536.349;60.903.482;26.130.261;73.077.977;22.563.551;66.506.912;25.830.685;75.056.046;22.335.968;66.396.412;25.930.622;76.676.690;22.422.804;66.418.562;22.836.672;66.081.702;
"   Andere Sprache, Inhalt prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Andere Sprache, Inhalt nicht prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Format";
"   Bild / Text";32.434.243;71.777.737;30.898.245;69.394.777;25.069.577;56.804.913;25.468.195;57.682.202;27.999.003;75.582.942;30.154.272;76.224.707;30.312.628;74.196.158;38.658.877;94.310.967;47.498.961;107.046.581;26.412.171;70.282.096;26.143.469;66.759.536;23.237.649;63.623.768;24.294.385;63.256.929;24.376.742;64.840.926;23.674.936;64.043.242;23.097.764;63.597.278;25.254.793;67.651.362;22.531.280;60.392.050;26.115.661;71.982.983;22.561.058;65.968.660;25.828.849;74.354.833;22.335.112;65.930.599;25.929.744;76.202.749;22.421.911;66.026.414;22.835.522;65.552.843;
"   Audio Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Video Stream";301.450;423.105;284.161;410.235;183.845;254.439;225.189;359.143;210.511;299.575;232.011;365.812;181.029;267.784;301.108;458.550;450.927;650.078;301.136;459.924;213.927;316.140;228.770;330.942;253.398;364.818;242.624;355.917;294.314;418.569;212.857;315.803;353.399;522.340;344.121;511.432;676.829;1.094.994;362.253;538.252;446.591;701.213;282.703;465.813;288.220;473.941;231.859;392.148;320.502;528.859;
"   Andere dynamische Formate";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Erzeuger";
"   Redaktion";32.444.760;71.975.690;30.907.937;69.419.768;25.074.285;56.827.980;25.471.266;57.819.099;28.007.318;75.648.682;30.158.438;76.290.642;30.317.310;74.225.182;38.663.625;94.458.143;47.511.551;107.215.672;26.416.882;70.475.929;26.148.754;66.715.149;23.242.640;63.708.822;24.300.480;63.302.145;24.380.474;64.912.326;23.682.289;64.108.876;23.099.781;63.503.932;25.238.971;67.811.799;22.120.572;59.286.893;25.717.827;71.541.296;22.214.613;64.997.270;25.479.045;73.493.353;22.095.132;65.208.804;25.655.433;75.266.298;22.214.874;65.381.136;22.616.902;64.780.729;
"   User";19.050;225.120;33.685;385.231;18.182;231.362;14.099;222.222;17.179;233.809;23.576;299.864;18.839;238.709;31.447;311.334;40.559;480.936;22.704;266.059;26.242;360.469;20.129;245.817;24.095;319.499;24.218;284.387;30.465;352.720;28.524;408.784;22.901;296.161;42.819;492.853;26.551;326.936;34.832;390.345;31.127;380.837;17.200;209.691;18.743;223.311;13.353;147.119;21.993;273.432;
"   Unbekannt";10;32;11;13;9;10;19;24;13;26;12;13;32;51;28;40;40;51;25;32;49;58;59;71;82;103;110;130;185;215;321;365;44.870;65.742;772.735;1.123.736;812.339;1.209.745;744.240;1.119.297;796.874;1.181.856;630.076;977.917;765.995;1.187.081;576.324;890.307;645.261;1.027.541;

"Homepage";
"   Homepage des Angebots";14.238.036;20.522.089;13.015.976;18.705.915;10.576.499;15.263.540;10.728.469;15.507.328;11.379.465;16.368.305;11.919.433;17.177.593;11.857.720;17.113.533;16.541.194;24.081.509;18.841.617;28.934.089;11.762.055;17.750.188;10.698.736;16.307.333;9.257.176;13.882.530;10.174.985;15.358.655;10.699.816;16.206.337;10.262.230;15.759.863;10.034.470;15.682.370;11.011.934;17.301.554;9.923.150;15.361.696;11.447.205;18.063.163;10.301.258;16.087.935;11.381.463;17.827.674;10.160.250;15.743.545;11.841.713;18.534.749;10.225.798;15.754.070;11.050.585;16.703.785;
"   Keine Homepage";24.744.705;51.255.785;23.998.814;50.696.759;19.409.244;41.449.871;19.792.751;42.195.696;25.291.331;59.148.502;27.109.252;59.045.924;26.565.333;56.899.981;33.042.321;70.203.585;38.293.924;78.253.520;20.573.305;52.543.292;20.602.564;50.277.852;18.300.549;49.633.606;19.035.275;47.833.232;19.017.608;48.544.687;18.557.680;48.247.576;18.217.551;47.775.021;20.114.433;50.399.880;17.721.694;45.128.612;20.883.596;54.520.713;17.815.237;49.598.655;20.416.870;56.250.231;17.499.387;49.708.442;20.428.797;57.170.864;17.417.026;49.869.552;17.290.437;48.520.137;
