"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"ohne Filterauswahl";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"online Visits:";45.586.575;
"online Visit-Anteil Inland:";87;
"online PIs:";92.505.166;
"online PI-Anteil Inland:";88;

"ausgewiesene Tage:";" 30/30";

"Bezeichnung:";"WELT";
"Angebotstyp:";"Multi-Angebot";
"FQDN:";"http://www.welt.de";
"Anbieter:";"Axel Springer SE";

"";"online Kat-Visits November 2020";"online PIs November 2020";"online Kat-Visits Oktober 2020";"online PIs Oktober 2020";"online Kat-Visits September 2020";"online PIs September 2020";"online Kat-Visits August 2020";"online PIs August 2020";"online Kat-Visits Juli 2020";"online PIs Juli 2020";"online Kat-Visits Juni 2020";"online PIs Juni 2020";"online Kat-Visits Mai 2020";"online PIs Mai 2020";"online Kat-Visits April 2020";"online PIs April 2020";"online Kat-Visits MÃ¤rz 2020";"online PIs MÃ¤rz 2020";"online Kat-Visits Februar 2020";"online PIs Februar 2020";"online Kat-Visits Januar 2020";"online PIs Januar 2020";"online Kat-Visits Dezember 2019";"online PIs Dezember 2019";"online Kat-Visits November 2019";"online PIs November 2019";"online Kat-Visits Oktober 2019";"online PIs Oktober 2019";"online Kat-Visits September 2019";"online PIs September 2019";"online Kat-Visits August 2019";"online PIs August 2019";"online Kat-Visits Juli 2019";"online PIs Juli 2019";"online Kat-Visits Juni 2019";"online PIs Juni 2019";"online Kat-Visits Mai 2019";"online PIs Mai 2019";"online Kat-Visits April 2019";"online PIs April 2019";"online Kat-Visits MÃ¤rz 2019";"online PIs MÃ¤rz 2019";"online Kat-Visits Februar 2019";"online PIs Februar 2019";"online Kat-Visits Januar 2019";"online PIs Januar 2019";"online Kat-Visits Dezember 2018";"online PIs Dezember 2018";"online Kat-Visits November 2018";"online PIs November 2018";
"Sprache";
"   Deutsch";45.219.542;91.873.287;39.532.759;83.280.875;33.433.388;70.645.056;33.960.546;71.657.550;33.834.015;71.715.403;36.546.297;76.229.119;40.785.914;85.936.040;51.681.439;107.075.928;66.172.703;137.312.225;41.066.402;90.184.648;38.246.900;83.858.172;32.095.137;70.745.247;34.127.141;73.085.754;35.956.115;78.069.574;35.031.138;76.090.955;34.504.288;77.607.001;35.067.839;80.294.277;33.633.859;74.815.223;36.826.829;80.758.232;33.321.772;73.770.285;44.933.935;125.963.586;41.175.475;116.835.738;47.517.932;136.874.433;38.892.434;107.062.652;42.906.939;117.743.070;
"   Andere Sprache, Inhalt prüfbar";5.085;6.382;5.204;6.493;4.795;5.979;4.363;5.434;4.281;5.158;4.518;5.529;5.541;6.818;7.387;9.065;8.211;10.034;5.752;6.970;5.149;6.213;4.600;5.463;5.185;5.971;6.060;7.123;6.087;7.277;5.844;7.144;5.372;6.376;5.164;6.041;5.820;7.019;5.730;6.902;6.461;7.730;6.067;7.253;6.495;7.916;5.326;6.526;5.847;6.989;
"   Andere Sprache, Inhalt nicht prüfbar";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;

"Format";
"   Bild / Text";44.369.999;88.798.429;38.915.357;81.051.426;32.946.678;68.948.246;33.447.215;69.699.713;33.335.321;69.975.211;36.032.148;74.284.394;40.128.919;83.650.303;50.807.136;103.778.729;64.912.739;131.916.223;40.477.301;87.224.930;37.672.016;81.464.846;32.039.283;70.501.981;34.130.799;73.090.109;35.960.291;78.075.022;35.035.215;76.096.475;34.508.280;77.612.669;35.071.580;80.299.202;33.637.299;74.819.423;36.803.937;80.262.666;33.260.339;72.873.762;44.898.715;125.243.751;41.147.685;116.229.540;47.441.340;136.023.346;38.859.132;106.418.330;42.867.936;117.005.182;
"   Audio Stream";---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;
"   Video Stream";2.070.916;3.074.384;1.516.335;2.226.789;1.144.768;1.694.064;1.288.630;1.953.426;1.164.363;1.742.318;1.305.762;1.947.306;1.559.931;2.287.820;2.173.915;3.301.485;3.514.939;5.401.785;1.928.074;2.964.646;1.585.027;2.396.885;163.551;247.108;50;52;54;57;57;57;93;97;136;155;332;375;427.792;500.770;765.655;901.403;624.051;725.211;523.564;610.952;736.607;855.441;550.973;647.600;628.837;736.622;
"   Andere dynamische Formate";5.459;6.856;7.041;9.153;5.722;8.725;5.963;9.845;1.859;3.032;1.654;2.948;2.631;4.735;2.974;4.779;2.663;4.251;1.477;2.042;2.345;2.654;1.362;1.621;1.387;1.564;1.482;1.618;1.560;1.700;1.252;1.379;1.166;1.296;1.299;1.466;1.633;1.815;1.847;2.022;2.145;2.354;2.266;2.499;3.119;3.562;2.921;3.248;7.524;8.255;
