Monat,Bezeichnung,Link,KatVisits,PIs,Quelle,Nutzungsbedingungen
202011,essen-und-trinken.de,http://www.essen-und-trinken.de,4959144,23620225,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202010,essen-und-trinken.de,http://www.essen-und-trinken.de,4606553,23611408,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202009,essen-und-trinken.de,http://www.essen-und-trinken.de,4495744,14076923,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202008,essen-und-trinken.de,http://www.essen-und-trinken.de,4517437,12828064,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202007,essen-und-trinken.de,http://www.essen-und-trinken.de,4778832,17525595,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202006,essen-und-trinken.de,http://www.essen-und-trinken.de,4976720,18786010,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202005,essen-und-trinken.de,http://www.essen-und-trinken.de,5608822,20400303,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202004,essen-und-trinken.de,http://www.essen-und-trinken.de,5901376,22701500,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202003,essen-und-trinken.de,http://www.essen-und-trinken.de,5015091,18910548,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202002,essen-und-trinken.de,http://www.essen-und-trinken.de,4109623,15766127,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
