Monat,Bezeichnung,Link,KatVisits,PIs,Quelle,Nutzungsbedingungen
202011,Süddeutsche.de,http://www.sueddeutsche.de,32446014,72200842,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202010,Süddeutsche.de,http://www.sueddeutsche.de,30909334,69805012,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202009,Süddeutsche.de,http://www.sueddeutsche.de,25075239,57059352,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202008,Süddeutsche.de,http://www.sueddeutsche.de,25472073,58041345,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202007,Süddeutsche.de,http://www.sueddeutsche.de,28008288,75882517,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202006,Süddeutsche.de,http://www.sueddeutsche.de,30159607,76590519,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202005,Süddeutsche.de,http://www.sueddeutsche.de,30318592,74463942,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202004,Süddeutsche.de,http://www.sueddeutsche.de,38665104,94769517,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202003,Süddeutsche.de,http://www.sueddeutsche.de,47513448,107696659,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
202002,Süddeutsche.de,http://www.sueddeutsche.de,26418125,70742020,Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW),http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf
